project_id,label,close_rate,close_time
5507,Multi,0.4401,131.9598
5539,Multi,0.8510,265.2972
5543,Multi,0.3148,236.7353
5562,Multi,0.4201,187.2982
5568,Multi,0.9344,272.7752
5588,Single,0.6851,48.0887
5626,Multi,0.7416,103.0842
5629,Multi,0.7191,98.4175
5635,Multi,0.6869,27.0356
5671,Multi,0.7612,145.0727
5693,Multi,0.4952,71.3087
5696,Multi,0.6112,49.3563
5711,Multi,0.9574,71.7058
5754,Multi,0.9324,43.2941
5756,"No Label",0.5959,112.8562
5759,Multi,0.8412,43.7119
5767,"No Label",0.3756,226.7393
5791,Multi,0.9294,53.8633
5854,Multi,0.8504,92.6935
5889,Multi,0.6740,133.1330
5911,Multi,0.9294,90.1122
5945,Multi,0.9945,101.9100
5955,Single,0.9982,157.0639
5993,Multi,0.9052,890.6206
6013,Multi,0.7777,204.5714
6040,Multi,0.8968,101.1389
6045,Multi,0.7512,287.2208
6050,Single,0.4768,89.7611
6075,Multi,0.8612,64.2221
6086,Multi,0.8309,386.9213
6087,Multi,0.6272,73.6726
6093,Multi,0.8366,121.3679
6101,Multi,0.7226,22.9940
6149,Multi,0.8942,200.1763
6151,Multi,0.7677,165.4746
6163,Multi,0.7695,123.0206
6205,Multi,0.8944,379.0578
6223,Multi,0.9873,14.1082
6285,Multi,1.0000,250.0621
6286,Multi,0.9092,203.5112
6301,Multi,0.8375,88.0290
6313,Multi,0.9671,43.9388
6345,Multi,0.9317,107.8102
6360,"No Label",0.6638,66.9319
6391,Multi,0.8984,29.4133
6456,Multi,0.7291,163.9475
6489,Multi,0.9830,63.4625
6536,Multi,0.7850,205.3342
6558,"No Label",0.6724,79.6853
6569,Multi,0.7642,134.4947
6584,Multi,0.8185,149.2552
6594,Multi,0.5750,28.0435
6606,Multi,0.6214,276.7976
6624,Multi,0.8159,103.9105
6664,Multi,0.6756,423.4950
6785,Multi,0.7410,484.4017
6806,Multi,0.9408,102.2893
6830,Multi,0.9040,119.3335
6848,Multi,0.8881,66.3193
6849,Multi,0.9942,86.3515
6883,Multi,0.9553,130.6496
6945,Multi,0.7899,83.5070
6947,Multi,0.9040,297.9096
6978,Single,0.7292,613.1728
7030,Multi,0.9301,301.5751
7033,Multi,0.5356,129.8177
7040,Multi,0.9360,83.0043
7058,Multi,0.8819,146.3594
7059,Multi,0.9502,256.6332
7098,Multi,0.5664,201.5156
7106,Multi,0.9497,75.0146
7118,Multi,0.8272,147.6013
7131,Multi,0.6235,117.0943
7172,Multi,0.8427,77.1093
7178,Single,0.9231,161.8854
7183,Multi,0.7007,188.2760
7189,Multi,0.7795,27.4764
7233,Multi,0.7561,377.4950
7266,Multi,0.8926,138.2901
7292,Multi,0.9200,59.3534
7294,Multi,0.8277,78.3888
7317,Multi,0.9838,63.1865
7321,Multi,0.8753,62.5314
7347,Multi,0.9442,287.8385
7407,Multi,1.0000,286.6935
7410,Multi,0.7883,217.6400
7466,Multi,0.7565,156.4298
7468,Multi,0.6453,125.3831
7513,Multi,0.7243,79.3968
7514,Multi,0.7440,149.7796
7537,Multi,0.8194,115.6816
7560,Multi,0.8933,234.6831
7570,Multi,0.8338,23.9510
7580,"No Label",0.5835,40.2632
7641,Multi,0.7920,133.8384
7669,Single,0.8757,132.2253
7714,Multi,0.5812,169.7263
7740,Multi,0.7924,120.0425
7770,Multi,0.9691,148.1184
7774,Multi,0.8934,284.3628
7775,Multi,0.7464,76.3462
7803,Single,0.9426,23.5782
7812,"No Label",0.7588,316.6864
7826,Multi,0.4743,173.6551
7837,Multi,0.6306,46.2971
7845,Multi,0.8764,191.0621
7894,Multi,0.9342,26.2592
7905,Multi,0.9258,87.5598
7931,Multi,0.7279,133.6377
8028,Multi,0.6387,73.9474
8059,Single,0.4291,80.6457
8108,Multi,0.7844,117.3359
8109,Multi,0.9915,107.2763
8124,Multi,0.9572,614.3365
8127,Multi,0.7978,159.0074
8184,Multi,0.9768,28.8600
8195,Multi,0.6828,434.1818
8249,Multi,0.8429,101.7233
8259,Multi,0.6224,164.8984
8310,Single,0.9714,173.2137
8319,Multi,0.8776,32.2377
8335,Multi,0.6730,228.8037
8343,Multi,0.9666,307.4539
8373,Multi,0.7852,233.4677
8416,Multi,0.9145,259.4573
8423,Multi,0.6621,184.8957
8464,Multi,0.8157,34.8557
8468,Multi,0.9318,183.0407
8497,Multi,0.6376,130.8274
8505,Multi,0.8815,97.8335
8514,Multi,0.6480,210.8633
8523,Multi,0.8400,196.9868
8540,Multi,0.7685,194.5134
8566,Multi,0.8220,31.1752
8571,Multi,0.9234,113.9738
8666,Single,0.6581,205.9394
8692,Multi,0.3567,324.2056
8703,Multi,0.8415,238.8454
8721,Multi,0.7210,183.3196
8785,Multi,0.9286,120.7016
8833,Multi,0.9490,301.6879
8835,Multi,0.9939,549.1413
8890,Multi,0.8108,133.8347
8892,Single,0.9966,6.0836
8917,"No Label",0.8401,69.0931
8924,Single,0.3153,193.6505
8991,Multi,0.9417,336.3901
8992,Multi,0.8871,117.4181
9000,Multi,0.6328,132.4819
9047,Multi,0.5316,54.4107
9095,Multi,0.9170,55.9717
9121,Multi,0.8440,109.6568
9197,Multi,0.8072,114.5758
9220,Single,0.7302,239.8233
9241,Multi,0.9261,192.0289
9314,Multi,0.6554,214.0456
9316,Multi,0.9900,67.1387
